field	variant_lineage	colour
variant_lineage	Outras variantes	#808080
variant_lineage	Gamma (P.1)	#1F3D7A
variant_lineage	Gamma (P.1.1)	#294785
variant_lineage	Gamma (P.1.10)	#335290
variant_lineage	Gamma (P.1.11)	#3D5C9B
variant_lineage	Gamma (P.1.12)	#4767A6
variant_lineage	Gamma (P.1.14)	#5171B1
variant_lineage	Gamma (P.1.15)	#5C7CBC
variant_lineage	Gamma (P.1.2)	#6686C7
variant_lineage	Gamma (P.1.4)	#7091D2
variant_lineage	Gamma (P.1.5)	#7A9BDD
variant_lineage	Gamma (P.1.6)	#84A6E8
variant_lineage	Gamma (P.1.7)	#8EB0F3
variant_lineage	Gamma (P.1.8)	#99BBFF
variant_lineage	Delta (AY.1)	#7A1F1F
variant_lineage	Delta (AY.14)	#7E2222
variant_lineage	Delta (AY.20)	#822626
variant_lineage	Delta (AY.22)	#862A2A
variant_lineage	Delta (AY.24)	#8A2D2D
variant_lineage	Delta (AY.26)	#8E3131
variant_lineage	Delta (AY.28)	#923535
variant_lineage	Delta (AY.29.1)	#963838
variant_lineage	Delta (AY.3)	#9A3C3C
variant_lineage	Delta (AY.33)	#9E4040
variant_lineage	Delta (AY.34)	#A24343
variant_lineage	Delta (AY.36)	#A64747
variant_lineage	Delta (AY.39)	#AA4B4B
variant_lineage	Delta (AY.39.1)	#AE4F4F
variant_lineage	Delta (AY.4)	#B25252
variant_lineage	Delta (AY.4.3)	#B65656
variant_lineage	Delta (AY.4.4)	#BA5A5A
variant_lineage	Delta (AY.41)	#BE5D5D
variant_lineage	Delta (AY.42)	#C26161
variant_lineage	Delta (AY.43)	#C66565
variant_lineage	Delta (AY.44)	#CA6868
variant_lineage	Delta (AY.45)	#CE6C6C
variant_lineage	Delta (AY.46)	#D27070
variant_lineage	Delta (AY.46.1)	#D67474
variant_lineage	Delta (AY.46.3)	#DA7777
variant_lineage	Delta (AY.46.6)	#DE7B7B
variant_lineage	Delta (AY.47)	#E27F7F
variant_lineage	Delta (AY.5)	#E68282
variant_lineage	Delta (AY.5.1)	#EA8686
variant_lineage	Delta (AY.5.2)	#EE8A8A
variant_lineage	Delta (AY.6)	#F28D8D
variant_lineage	Delta (AY.7.2)	#F69191
variant_lineage	Delta (AY.9)	#FA9595
variant_lineage	Delta (B.1.617.2)	#FF9999
